CARE_SITE_ID,CARE_SITE_NAME,PLACE_OF_SERVICE_CONCEPT_ID,LOCATION_ID,CARE_SITE_SOURCE_VALUE,PLACE_OF_SERVICE_SOURCE_VALUE
4324,,8940,,852660889,Office
4384,,8940,,376533119,Office
4444,,8940,,227951639,Office
4504,,8940,,898343317,Office
4564,,8940,,404522094,Office
4624,,8756,,0101AV,Outpatient Facility
4684,,8940,,407866490,Office
4744,,8756,,1000SC,Outpatient Facility
4804,,8940,,876210037,Office
4864,,8940,,267086508,Office
4924,,8717,,0502VR,Inpatient Facility
4984,,8940,,447242773,Office
5044,,8940,,980626681,Office
5104,,8940,,242885726,Office
5164,,8940,,784038213,Office
5224,,8756,,45086P,Outpatient Facility
5284,,8940,,022524232,Office
5344,,8940,,050559891,Office
5404,,8940,,063127267,Office
5464,,8940,,138260851,Office
5524,,8940,,830883415,Office
5584,,8940,,323034560,Office
5644,,8940,,319940396,Office
5704,,8940,,155532225,Office
5764,,8940,,748504048,Office
5824,,8940,,200504155,Office
5884,,8940,,612215210,Office
5944,,8940,,125179937,Office
6004,,8940,,879427416,Office
6064,,8940,,073446059,Office
6124,,8940,,199298835,Office
6184,,8940,,644292018,Office
6244,,8940,,591502888,Office
6304,,8940,,885643497,Office
6364,,8940,,775128518,Office
6424,,8940,,433438513,Office
6484,,8940,,961746807,Office
6544,,8940,,831874995,Office
6604,,8940,,010222812,Office
6664,,8940,,857101970,Office
6724,,8940,,083178298,Office
6784,,8940,,706433797,Office
6844,,8940,,158596550,Office
6904,,8940,,382964118,Office
6964,,8940,,647668272,Office
7024,,8940,,506673610,Office
7084,,8756,,1119SV,Outpatient Facility
7144,,8940,,566833360,Office
7204,,8940,,372622556,Office
7264,,8940,,717106187,Office
7324,,8940,,015651660,Office
7384,,8940,,462815262,Office
7444,,8940,,578378037,Office
7504,,8940,,920496019,Office
7564,,8756,,4501YR,Outpatient Facility
7624,,8940,,261516993,Office
7684,,8940,,737759163,Office
7744,,8940,,143200961,Office
7804,,8940,,708179718,Office
7864,,8940,,021447893,Office
7924,,8940,,272615711,Office
7984,,8940,,622113227,Office
8044,,8940,,197959183,Office
8104,,8940,,058612097,Office
8164,,8940,,288422264,Office
8224,,8940,,628067997,Office
8284,,8940,,362804502,Office
8344,,8940,,751255441,Office
8404,,8940,,243065606,Office
8464,,8940,,191910030,Office
8524,,8940,,066685555,Office
8584,,8940,,139691980,Office
8644,,8940,,552190187,Office
8704,,8756,,4505QV,Outpatient Facility
8764,,8940,,639834351,Office
8824,,8940,,508335615,Office
8884,,8940,,189825850,Office
8944,,8940,,010623240,Office
9004,,8940,,819826402,Office
9064,,8940,,217747741,Office
9124,,8940,,154688822,Office
9184,,8940,,480498980,Office
9244,,8940,,454411238,Office
9304,,8940,,207188604,Office
9364,,8940,,955134656,Office
9424,,8940,,627104965,Office
9484,,8940,,205682362,Office
9544,,8940,,620621304,Office
9604,,8940,,535289035,Office
9664,,8756,,3903AG,Outpatient Facility
9724,,8756,,0505MB,Outpatient Facility
9784,,8940,,901738473,Office
9844,,8940,,884323219,Office
9904,,8940,,659521899,Office
9964,,8940,,943530165,Office
10024,,8940,,631672982,Office
10084,,8940,,049576908,Office
10144,,8756,,3301CM,Outpatient Facility
10204,,8940,,386046388,Office
10264,,8940,,671529251,Office
10324,,8940,,111876048,Office
10384,,8940,,220009869,Office
10444,,8940,,498387771,Office
10504,,8717,,3300TS,Inpatient Facility
10564,,8940,,545837309,Office
10624,,8940,,848661047,Office
10684,,8940,,910324645,Office
10744,,8940,,261855760,Office
10804,,8940,,051081472,Office
10864,,8940,,541178886,Office
10924,,8940,,730054892,Office
10984,,8940,,314297602,Office
11044,,8940,,072201516,Office
11104,,8940,,679117133,Office
11164,,8940,,559821891,Office
11224,,8940,,832385560,Office
11284,,8940,,708727373,Office
11344,,8940,,324289705,Office
11404,,8940,,850909955,Office
11464,,8940,,510678834,Office
11524,,8940,,610897726,Office
11584,,8940,,237985457,Office
11644,,8940,,272553055,Office
11704,,8940,,790527138,Office
11764,,8940,,214322932,Office
11824,,8940,,887367447,Office
11884,,8940,,647759433,Office
11944,,8940,,932894621,Office
12004,,8940,,212095182,Office
12064,,8756,,4526DB,Outpatient Facility
12124,,8940,,991621233,Office
12184,,8940,,003771330,Office
12244,,8940,,547619408,Office
12304,,8940,,647483558,Office
12364,,8940,,463110144,Office
12424,,8940,,008957801,Office
12484,,8940,,851069119,Office
12544,,8940,,374447180,Office
12604,,8940,,312940164,Office
12664,,8756,,1200CQ,Outpatient Facility
12724,,8940,,708247495,Office
12784,,8940,,951068942,Office
12844,,8940,,063825330,Office
12904,,8940,,915885082,Office
12964,,8940,,863460197,Office
13024,,8940,,341644932,Office
13084,,8940,,929958251,Office
13144,,8940,,187192778,Office
13204,,8940,,144759422,Office
13264,,8940,,833904997,Office
13324,,8717,,4200YN,Inpatient Facility
13384,,8940,,811956327,Office
13444,,8940,,518950604,Office
13504,,8940,,101788131,Office
13564,,8940,,805933321,Office
13624,,8940,,977724493,Office
13684,,8940,,561341611,Office
13744,,8940,,801711774,Office
13804,,8940,,593086926,Office
13864,,8940,,749977072,Office
13924,,8940,,084027117,Office
13984,,8940,,645959613,Office
14044,,8940,,184109535,Office
14104,,8940,,661535312,Office
14164,,8940,,675023692,Office
14224,,8940,,574819084,Office
14284,,8940,,401929955,Office
14344,,8940,,224274247,Office
14404,,8940,,039923563,Office
14464,,8940,,524786077,Office
14524,,8940,,517011274,Office
14584,,8940,,829139295,Office
14644,,8940,,345259080,Office
14704,,8940,,808924386,Office
14764,,8940,,811597562,Office
14824,,8717,,2801QQ,Inpatient Facility
14884,,8717,,1001NA,Inpatient Facility
14944,,8940,,237879916,Office
15004,,8940,,516607728,Office
15064,,8940,,877233936,Office
15124,,8940,,365847227,Office
15184,,8940,,080157632,Office
15244,,8940,,627990300,Office
15304,,8940,,479647874,Office
15364,,8940,,948559343,Office
15424,,8940,,666606826,Office
15484,,8940,,237674887,Office
15544,,8940,,499016326,Office
15604,,8940,,063622652,Office
15664,,8940,,174839879,Office
15724,,8940,,434031061,Office
15784,,8940,,645121201,Office
15844,,8940,,647836734,Office
15904,,8940,,158756336,Office
15964,,8940,,887298309,Office
16024,,8940,,191163322,Office
16084,,8940,,017730327,Office
16144,,8940,,071536385,Office
16204,,8756,,3100CP,Outpatient Facility
16264,,8940,,115346882,Office
16324,,8756,,5013KA,Outpatient Facility
16384,,8940,,008895053,Office
16444,,8940,,629413292,Office
16504,,8940,,717422922,Office
16564,,8940,,051161707,Office
16624,,8940,,456254123,Office
16684,,8940,,776765387,Office
16744,,8940,,747890692,Office
16804,,8940,,264262150,Office
16864,,8940,,753366011,Office
16924,,8940,,488374941,Office
16984,,8940,,223199987,Office
17044,,8940,,870616213,Office
17104,,8940,,957617014,Office
17164,,8940,,361973584,Office
17224,,8940,,094308453,Office
17284,,8940,,799762516,Office
17344,,8940,,874054422,Office
17404,,8940,,340402306,Office
17464,,8756,,5000BN,Outpatient Facility
17524,,8940,,910802480,Office
17584,,8940,,326046757,Office
17644,,8940,,107812216,Office
17704,,8940,,593837333,Office
17764,,8940,,331748110,Office
17824,,8940,,486900973,Office
17884,,8940,,851433923,Office
17944,,8940,,469146967,Office
18004,,8940,,385979771,Office
18064,,8717,,2200JA,Inpatient Facility
18124,,8940,,597406265,Office
18184,,8940,,693770882,Office
18244,,8940,,948896031,Office
18304,,8940,,441880618,Office
18364,,8940,,398773146,Office
18424,,8940,,440332217,Office
18484,,8940,,003617090,Office
18544,,8940,,027491760,Office
18604,,8940,,211895338,Office
18664,,8940,,159073070,Office
18724,,8940,,754761655,Office
18784,,8940,,707309051,Office
18844,,8940,,761803344,Office
18904,,8756,,2100DP,Outpatient Facility
18964,,8940,,232588417,Office
19024,,8940,,122048562,Office
19084,,8940,,095898801,Office
19144,,8940,,730636810,Office
19204,,8940,,649083688,Office
19264,,8940,,261099764,Office
19324,,8756,,1001MH,Outpatient Facility
19384,,8940,,234159745,Office
19444,,8940,,083474378,Office
19504,,8940,,015233675,Office
19564,,8940,,112004682,Office
19624,,8940,,190549741,Office
19684,,8940,,156829193,Office
19744,,8940,,404319731,Office
19804,,8940,,281946787,Office
19864,,8940,,759983557,Office
19924,,8940,,197952775,Office
19984,,8940,,443650099,Office
20044,,8940,,658614280,Office
20104,,8940,,840493639,Office
20164,,8940,,820306908,Office
20224,,8940,,725354288,Office
20284,,8756,,3303KC,Outpatient Facility
20344,,8940,,386288333,Office
20404,,8940,,544184105,Office
20464,,8940,,127607757,Office
20524,,8940,,147001139,Office
20584,,8940,,155013476,Office
20644,,8940,,474649701,Office
20704,,8940,,751473032,Office
20764,,8940,,737189573,Office
20824,,8756,,4200PA,Outpatient Facility
20884,,8940,,686744797,Office
20944,,8940,,238455506,Office
21004,,8940,,599515226,Office
21064,,8940,,189754138,Office
21124,,8756,,0502ZV,Outpatient Facility
21184,,8940,,662983381,Office
1,,8940,,821152798,Office
61,,8940,,094909868,Office
121,,8940,,418510440,Office
181,,8940,,698492656,Office
241,,8940,,931589475,Office
301,,8940,,744134280,Office
361,,8940,,035616606,Office
421,,8940,,538396236,Office
481,,8940,,440478965,Office
541,,8940,,929871005,Office
601,,8940,,371857363,Office
661,,8940,,235159994,Office
721,,8940,,551741882,Office
781,,8940,,885226961,Office
841,,8940,,482051995,Office
901,,8940,,920171715,Office
961,,8940,,198458699,Office
1021,,8940,,397945547,Office
1081,,8940,,451742671,Office
1141,,8940,,868760417,Office
1201,,8940,,230063793,Office
1261,,8756,,3602QP,Outpatient Facility
1321,,8940,,507673427,Office
1381,,8940,,885335076,Office
1441,,8940,,157683595,Office
1501,,8940,,022200324,Office
1561,,8940,,000638277,Office
1621,,8940,,328330505,Office
1681,,8940,,192184152,Office
1741,,8940,,457125481,Office
1801,,8756,,2400RT,Outpatient Facility
1861,,8717,,0300QR,Inpatient Facility
1921,,8940,,334076167,Office
1981,,8940,,018302959,Office
2041,,8940,,455408740,Office
2101,,8940,,781188415,Office
2161,,8940,,018261577,Office
2221,,8940,,966184498,Office
2281,,8940,,750317817,Office
2341,,8940,,353087027,Office
2401,,8940,,921139787,Office
2461,,8756,,3200YN,Outpatient Facility
2521,,8940,,575176969,Office
2581,,8940,,208486373,Office
2641,,8756,,3500YK,Outpatient Facility
2701,,8717,,5200GV,Inpatient Facility
2761,,8940,,646491898,Office
2821,,8940,,714186891,Office
2881,,8940,,078230995,Office
2941,,8940,,009466857,Office
3001,,8940,,553282972,Office
3061,,8756,,25136M,Outpatient Facility
3121,,8940,,999444475,Office
3181,,8940,,199463355,Office
3241,,8940,,810386988,Office
3301,,8940,,653810886,Office
3361,,8940,,083346155,Office
3421,,8940,,553354486,Office
3481,,8940,,035170928,Office
3541,,8940,,615998841,Office
3601,,8940,,483315201,Office
3661,,8940,,975217437,Office
3721,,8940,,557506832,Office
3781,,8940,,008652017,Office
3841,,8940,,526533960,Office
3901,,8940,,691271188,Office
3961,,8940,,511994729,Office
4021,,8940,,931388678,Office
4081,,8756,,4713KR,Outpatient Facility
4141,,8940,,125290925,Office
4201,,8940,,674680219,Office
4261,,8940,,681411925,Office
4321,,8940,,793291628,Office
4381,,8940,,006920327,Office
4441,,8940,,434448941,Office
4501,,8940,,639113354,Office
4561,,8940,,981189377,Office
4621,,8940,,442770669,Office
4681,,8940,,759790615,Office
4741,,8756,,1934HS,Outpatient Facility
4801,,8940,,484360268,Office
4861,,8940,,319185219,Office
4921,,8940,,941322125,Office
4981,,8940,,917113179,Office
5041,,8940,,150299049,Office
5101,,8940,,899512618,Office
5161,,8756,,1800YJ,Outpatient Facility
5221,,8940,,793307378,Office
5281,,8940,,566100656,Office
5341,,8940,,854068860,Office
5401,,8940,,317823083,Office
5461,,8940,,614195186,Office
5521,,8940,,612732835,Office
5581,,8940,,566147222,Office
5641,,8940,,338603091,Office
5701,,8940,,956146756,Office
5761,,8940,,517746926,Office
5821,,8940,,250659169,Office
5881,,8940,,073360154,Office
5941,,8940,,197812474,Office
6001,,8940,,164259916,Office
6061,,8940,,468869851,Office
6121,,8940,,137735902,Office
6181,,8940,,100799632,Office
6241,,8940,,855898372,Office
6301,,8940,,445848989,Office
6361,,8940,,802743388,Office
6421,,8940,,479353387,Office
6481,,8940,,523003257,Office
6541,,8940,,271637382,Office
6601,,8940,,233588673,Office
6661,,8940,,261523536,Office
6721,,8940,,329783072,Office
6781,,8940,,296968869,Office
6841,,8940,,837618606,Office
6901,,8940,,847905538,Office
6961,,8940,,008418424,Office
7021,,8940,,023426534,Office
7081,,8940,,074991443,Office
7141,,8940,,385527199,Office
7201,,8940,,558955727,Office
7261,,8756,,4900NQ,Outpatient Facility
7321,,8756,,07008Q,Outpatient Facility
7381,,8940,,484553406,Office
7441,,8940,,475758560,Office
7501,,8940,,057685770,Office
7561,,8717,,3603KM,Inpatient Facility
7621,,8940,,314993697,Office
7681,,8940,,217847200,Office
7741,,8940,,259692499,Office
7801,,8940,,562479000,Office
7861,,8940,,684544765,Office
7921,,8940,,432913575,Office
7981,,8717,,4500PK,Inpatient Facility
8041,,8940,,363823741,Office
8101,,8940,,059950744,Office
8161,,8940,,089514123,Office
8221,,8940,,230281494,Office
8281,,8940,,906273688,Office
8341,,8940,,239774407,Office
8401,,8940,,211084379,Office
8461,,8940,,154490563,Office
8521,,8940,,576051539,Office
8581,,8940,,694677547,Office
8641,,8940,,655189807,Office
8701,,8940,,447312037,Office
8761,,8940,,741777761,Office
8821,,8940,,139781305,Office
8881,,8940,,229417066,Office
8941,,8940,,737259035,Office
9001,,8940,,373639606,Office
9061,,8940,,436087517,Office
9121,,8940,,612958150,Office
9181,,8940,,401566861,Office
9241,,8940,,829220448,Office
9301,,8940,,954946035,Office
9361,,8940,,643309189,Office
9421,,8940,,944127826,Office
9481,,8940,,477579233,Office
9541,,8940,,630776967,Office
9601,,8940,,908559803,Office
9661,,8940,,850370859,Office
9721,,8940,,213463833,Office
9781,,8940,,921935941,Office
9841,,8940,,749726350,Office
9901,,8940,,220394401,Office
9961,,8940,,682975372,Office
10021,,8940,,378114311,Office
10081,,8940,,982212733,Office
10141,,8940,,882578986,Office
10201,,8940,,279546130,Office
10261,,8756,,4525NN,Outpatient Facility
10321,,8940,,351529800,Office
10381,,8940,,263730370,Office
10441,,8940,,134999585,Office
10501,,8940,,372004690,Office
10561,,8940,,581402803,Office
10621,,8717,,5200MP,Inpatient Facility
10681,,8940,,762877510,Office
10741,,8940,,604923007,Office
10801,,8940,,989456710,Office
10861,,8756,,0100YT,Outpatient Facility
10921,,8940,,360007254,Office
10981,,8940,,213743371,Office
11041,,8940,,032302470,Office
11101,,8940,,145748781,Office
11161,,8940,,558936179,Office
11221,,8940,,581217441,Office
11281,,8756,,0213CG,Outpatient Facility
11341,,8940,,000885073,Office
11401,,8940,,342734585,Office
11461,,8940,,631059186,Office
11521,,8940,,749135369,Office
11581,,8940,,412504715,Office
11641,,8940,,892978679,Office
11701,,8940,,251102819,Office
11761,,8940,,600344099,Office
11821,,8940,,371880754,Office
11881,,8940,,565885217,Office
11941,,8940,,050252748,Office
12001,,8717,,0505KQ,Inpatient Facility
12061,,8756,,2000XR,Outpatient Facility
12121,,8940,,286121209,Office
12181,,8940,,497030361,Office
12241,,8940,,874847438,Office
12301,,8940,,689165000,Office
12361,,8940,,777988195,Office
12421,,8940,,796759259,Office
12481,,8940,,217989779,Office
12541,,8940,,673045222,Office
12601,,8940,,858273541,Office
12661,,8940,,429790457,Office
12721,,8940,,314126152,Office
12781,,8940,,885939001,Office
12841,,8940,,510437447,Office
12901,,8940,,190013676,Office
12961,,8756,,05058N,Outpatient Facility
13021,,8940,,095186714,Office
13081,,8940,,152086656,Office
13141,,8940,,292067184,Office
13201,,8940,,195442983,Office
13261,,8940,,575876960,Office
13321,,8756,,2500PU,Outpatient Facility
13381,,8940,,586214874,Office
13441,,8940,,167402205,Office
13501,,8940,,336621075,Office
13561,,8940,,546915838,Office
13621,,8940,,487686590,Office
13681,,8940,,562515018,Office
13741,,8940,,298540142,Office
13801,,8940,,750048467,Office
13861,,8940,,759784216,Office
13921,,8940,,808077337,Office
13981,,8940,,837868030,Office
14041,,8940,,844641350,Office
14101,,8756,,1101HC,Outpatient Facility
14161,,8940,,799094216,Office
14221,,8717,,1300PR,Inpatient Facility
14281,,8940,,480377075,Office
14341,,8940,,827340159,Office
14401,,8940,,068312980,Office
14461,,8756,,0513RS,Outpatient Facility
14521,,8940,,152703883,Office
14581,,8756,,5201AC,Outpatient Facility
14641,,8940,,690828976,Office
14701,,8940,,036478687,Office
14761,,8756,,1002JA,Outpatient Facility
14821,,8940,,808245790,Office
14881,,8756,,4501CA,Outpatient Facility
14941,,8940,,685225180,Office
15001,,8940,,727026326,Office
15061,,8940,,280121793,Office
15121,,8940,,936125344,Office
15181,,8940,,953323062,Office
15241,,8940,,307276611,Office
15301,,8940,,043475981,Office
15361,,8940,,987367623,Office
15421,,8940,,628423873,Office
15481,,8756,,3301UP,Outpatient Facility
15541,,8940,,939647155,Office
15601,,8940,,927693313,Office
15661,,8940,,115291091,Office
15721,,8940,,077011715,Office
15781,,8940,,652462260,Office
15841,,8940,,292550480,Office
15901,,8940,,392180848,Office
15961,,8940,,622945069,Office
16021,,8940,,273079517,Office
16081,,8940,,762486390,Office
16141,,8940,,314451401,Office
16201,,8940,,808139464,Office
16261,,8940,,479332894,Office
16321,,8940,,010313100,Office
16381,,8940,,099265514,Office
16441,,8940,,719485878,Office
16501,,8940,,373377366,Office
16561,,8940,,986242510,Office
16621,,8940,,046322143,Office
16681,,8940,,574761124,Office
16741,,8940,,605696528,Office
16801,,8940,,288987393,Office
16861,,8940,,040490820,Office
16921,,8940,,423699583,Office
16981,,8940,,146309404,Office
17041,,8940,,569546534,Office
17101,,8756,,33008P,Outpatient Facility
17161,,8940,,840157662,Office
17221,,8940,,479197723,Office
17281,,8940,,509259553,Office
17341,,8940,,154237717,Office
17401,,8940,,509615087,Office
17461,,8940,,977470414,Office
17521,,8940,,780499866,Office
17581,,8940,,191982258,Office
17641,,8940,,366797382,Office
17701,,8756,,5213KT,Outpatient Facility
17761,,8940,,221952169,Office
17821,,8717,,0506YB,Inpatient Facility
17881,,8940,,221128988,Office
17941,,8940,,126754796,Office
18001,,8940,,512175536,Office
18061,,8940,,451909430,Office
18121,,8940,,006292734,Office
18181,,8940,,778463815,Office
18241,,8940,,590277878,Office
18301,,8940,,527882982,Office
18361,,8756,,4400RR,Outpatient Facility
18421,,8940,,866193736,Office
18481,,8940,,844064049,Office
18541,,8940,,489849630,Office
18601,,8940,,134024652,Office
18661,,8940,,230266905,Office
18721,,8940,,816853745,Office
18781,,8940,,927806722,Office
18841,,8940,,702194394,Office
18901,,8940,,486720552,Office
18961,,8940,,046938689,Office
19021,,8940,,162824576,Office
19081,,8940,,125594700,Office
19141,,8940,,933587196,Office
19201,,8940,,361848115,Office
19261,,8940,,383803789,Office
19321,,8756,,3400QT,Outpatient Facility
19381,,8940,,913844341,Office
19441,,8940,,498239037,Office
19501,,8940,,553286617,Office
19561,,8940,,778903850,Office
19621,,8717,,1300ZH,Inpatient Facility
19681,,8940,,327674446,Office
19741,,8940,,721184842,Office
19801,,8940,,902358589,Office
19861,,8940,,742302807,Office
19921,,8940,,135406299,Office
19981,,8940,,645189460,Office
20041,,8940,,118942167,Office
2,,8940,,416229873,Office
62,,8940,,578115979,Office
122,,8940,,075706726,Office
182,,8940,,933541126,Office
242,,8940,,177531787,Office
302,,8940,,910708740,Office
362,,8940,,041222195,Office
422,,8940,,194716554,Office
482,,8940,,548533022,Office
542,,8940,,423440384,Office
602,,8940,,156618777,Office
662,,8940,,290738865,Office
722,,8940,,410791918,Office
782,,8940,,172233097,Office
842,,8940,,902183452,Office
902,,8940,,940867767,Office
962,,8940,,170430359,Office
1022,,8940,,805356681,Office
1082,,8940,,288531573,Office
1142,,8940,,336328986,Office
1202,,8940,,481631087,Office
1262,,8756,,3100BU,Outpatient Facility
1322,,8940,,024418034,Office
1382,,8940,,454262850,Office
1442,,8940,,342225521,Office
1502,,8940,,272654154,Office
1562,,8940,,070259221,Office
1622,,8940,,434894839,Office
1682,,8940,,244021360,Office
1742,,8940,,905557294,Office
1802,,8940,,446232036,Office
1862,,8940,,715408629,Office
1922,,8756,,5200ZV,Outpatient Facility
1982,,8940,,634306912,Office
2042,,8940,,090286177,Office
2102,,8940,,057044082,Office
2162,,8940,,103689160,Office
2222,,8940,,310684590,Office
2282,,8940,,727861490,Office
2342,,8940,,742854707,Office
2402,,8940,,048036667,Office
2462,,8940,,472274895,Office
2522,,8940,,456541225,Office
2582,,8940,,913838288,Office
2642,,8940,,548101456,Office
2702,,8940,,993023718,Office
2762,,8940,,568458055,Office
2822,,8940,,065007983,Office
2882,,8940,,360755325,Office
2942,,8940,,325320436,Office
3002,,8940,,397110946,Office
3062,,8756,,2300SC,Outpatient Facility
3122,,8717,,1800KA,Inpatient Facility
3182,,8940,,179719730,Office
3242,,8940,,331794203,Office
3302,,8940,,406445623,Office
3362,,8940,,976503381,Office
3422,,8940,,768627765,Office
3482,,8940,,909364726,Office
3542,,8940,,265655672,Office
3602,,8940,,629830624,Office
3662,,8940,,654588143,Office
3722,,8940,,376306278,Office
3782,,8940,,157660250,Office
3842,,8940,,826153337,Office
3902,,8940,,433361497,Office
3962,,8940,,866025403,Office
4022,,8940,,639479127,Office
4082,,8940,,025560895,Office
4142,,8940,,800483311,Office
4202,,8940,,184193563,Office
4262,,8756,,3813VT,Outpatient Facility
4322,,8940,,049737695,Office
4382,,8940,,806006440,Office
4442,,8940,,134719812,Office
4502,,8940,,441624788,Office
4562,,8756,,42006A,Outpatient Facility
4622,,8940,,435512792,Office
4682,,8756,,2100GQ,Outpatient Facility
4742,,8940,,992607759,Office
4802,,8940,,891306522,Office
4862,,8940,,033835996,Office
4922,,8756,,4505CJ,Outpatient Facility
4982,,8940,,016886757,Office
5042,,8940,,280779414,Office
5102,,8940,,733115060,Office
5162,,8940,,592084314,Office
5222,,8940,,005370906,Office
5282,,8940,,423824016,Office
5342,,8940,,922963173,Office
5402,,8940,,548966499,Office
5462,,8940,,639177159,Office
5522,,8940,,194663913,Office
5582,,8940,,265893812,Office
5642,,8940,,907274755,Office
5702,,8940,,574809818,Office
5762,,8940,,402922249,Office
5822,,8940,,431216599,Office
5882,,8940,,515998894,Office
5942,,8940,,937047222,Office
6002,,8940,,374870335,Office
6062,,8940,,288300966,Office
6122,,8940,,576186696,Office
6182,,8940,,492402342,Office
6242,,8940,,143541901,Office
6302,,8940,,547569507,Office
6362,,8940,,832994250,Office
6422,,8940,,785905376,Office
6482,,8940,,506226469,Office
6542,,8940,,879930741,Office
6602,,8756,,0503RC,Outpatient Facility
6662,,8940,,751228166,Office
6722,,8756,,1900PA,Outpatient Facility
6782,,8940,,247652402,Office
6842,,8940,,698978838,Office
6902,,8940,,125907947,Office
6962,,8940,,251744647,Office
7022,,8940,,920804676,Office
7082,,8940,,788403323,Office
7142,,8940,,670062162,Office
7202,,8940,,101517669,Office
7262,,8940,,719251854,Office
7322,,8940,,450692730,Office
7382,,8940,,822723617,Office
7442,,8756,,3000NJ,Outpatient Facility
7502,,8940,,352514352,Office
7562,,8940,,831610072,Office
7622,,8940,,879716291,Office
7682,,8940,,981114516,Office
7742,,8940,,797933819,Office
7802,,8940,,402981433,Office
7862,,8940,,873539278,Office
7922,,8940,,427280423,Office
7982,,8940,,212644245,Office
8042,,8940,,907618085,Office
8102,,8940,,080819015,Office
8162,,8940,,163908902,Office
8222,,8940,,173695717,Office
8282,,8940,,574391599,Office
8342,,8940,,060846998,Office
8402,,8940,,022731614,Office
8462,,8940,,035835598,Office
8522,,8940,,677652250,Office
8582,,8940,,247094082,Office
8642,,8940,,366170238,Office
8702,,8940,,522399798,Office
8762,,8940,,411203683,Office
8822,,8940,,269760183,Office
8882,,8940,,026996688,Office
8942,,8940,,965886017,Office
9002,,8717,,3400DH,Inpatient Facility
9062,,8940,,157340518,Office
9122,,8940,,137895197,Office
9182,,8940,,994583808,Office
9242,,8940,,062778668,Office
9302,,8940,,532555030,Office
9362,,8940,,663655410,Office
9422,,8940,,163307958,Office
9482,,8940,,325034263,Office
9542,,8940,,557809486,Office
9602,,8940,,347514167,Office
9662,,8940,,957802139,Office
9722,,8940,,690701458,Office
9782,,8940,,310714488,Office
9842,,8940,,534026226,Office
9902,,8940,,217756745,Office
9962,,8940,,147332170,Office
10022,,8756,,3013SA,Outpatient Facility
10082,,8940,,036039517,Office
10142,,8940,,087893711,Office
10202,,8940,,504305799,Office
10262,,8940,,113978333,Office
10322,,8940,,391682180,Office
10382,,8940,,491727554,Office
10442,,8940,,767168520,Office
10502,,8940,,770663102,Office
10562,,8940,,324488292,Office
10622,,8940,,208996594,Office
10682,,8940,,404540467,Office
10742,,8940,,228415950,Office
10802,,8940,,416366673,Office
10862,,8940,,773694028,Office
10922,,8940,,583408367,Office
10982,,8940,,646454234,Office
11042,,8940,,817478182,Office
11102,,8940,,102238411,Office
11162,,8940,,775944440,Office
11222,,8940,,069227235,Office
11282,,8940,,949001971,Office
11342,,8940,,240145150,Office
11402,,8940,,872039902,Office
11462,,8940,,744806337,Office
11522,,8940,,816137132,Office
11582,,8940,,429100817,Office
